name;year;genre;director;cast;rating;votes
Bhoot police;2021;*Comedy*;Pavan Kripalani;*Yami Gautam,Saif Ali Khan,Jacqueline Fernandez*;;
Bhoot Raaj;2000;*Horror*;Poonam Dasgupta;*Prithvi,Satnam Kaur,Shakti Kapoor*;3.2;8
Bhoot Returns;2012;*Horror, Mystery, Thriller*;Ram Gopal Varma;*J.D. Chakravarthi,Madhu Shalini,Alayana Sharma*;2.5;513
Bhoot Unkle;;*Family, Fantasy*;Mukesh Saigal;*Jackie Shroff,Akhilendra Mishra,Dev K. Kantawall*;;
Bhoot: Part One - The Haunted Ship;2020;*Horror, Mystery, Thriller*;Bhanu Pratap Singh;*Vicky Kaushal,Ashutosh Rana,Meher Vij*;5.4;"4;236"
Bhootaha;2020;*Horror*;Rupesh Kumar Singh;*Jyoti Tripathi,,*;;
Bhooth Haveli;2000;*Horror*;Indrajit;*Lailasree,Ram Mohan,*;;
Bhoothnath Returns;2014;*Comedy, Drama, Fantasy*;Nitesh Tiwari;*Amitabh Bachchan,Boman Irani,Parth Bhalerao*;6.6;"5;030"
Bhootiyapa;2019;*Comedy, Horror*;Manoj Sharma;*Krishna Abhishek,Mithun Chakraborty,Tanaji Galgunde*;;
Bhootnath;2008;*Comedy, Drama, Family*;Vivek Sharma;*Amitabh Bachchan,Juhi Chawla,Satish Shah*;6.3;"8;460"
Bhootnath;1963;*Adventure*;Nanabhai Bhatt;*Mohan Choti,Vijaya Choudhury,Rajan Haksar*;6.5;60
Bhootni;2000;*Horror*;Israr Ahmed;*Kiran Kumar,Johnny Lever,Raza Murad*;2.4;5
Bhooton Ka Honeymoon;2001;*Horror*;Shaheen Khan;*Mac Mohan,Pramod Moutho,Raza Murad*;;
Bhooton Ka Mahal;2000;*Horror*;Ambika;*Anuradha,Karthik,*;;
Bhootwali Love Story;2018;*Comedy*;Shantanu Anant Tambe;*Tushar Acharya,Kanchan Awasthi,Laxman Dawbhat*;;
Bhopal Express;1999;*Drama*;Mahesh Mathai;*Kay Kay Menon,Nethra Raghuraman,Zeenat Aman*;7.1;367
Bhopal: A Prayer for Rain;2014;*Drama*;Ravi Kumar;*Martin Sheen,Mischa Barton,Kal Penn*;7.2;"1;968"
Bhopali;2011;*Documentary, History, News*;Van Maximilian Carlson;*Saiba Babu,Salam Babu,Rashida Bee*;8;58
Bhor: Dawn;2018;*Drama*;Kamakhya Narayan Singh;*Devesh Ranjan,Saveree Gaur,Nalneesh Neel*;7.8;147
Bhouri;2016;*Drama*;Jasbir Bijender Bhati;*Raghuvir Yadav,Masha Pour,Kunickaa Sadanand*;6.7;403
Bhram: An Illusion;2008;*Drama, Mystery, Romance*;Pavan Kaul;*Dino Morea,Milind Soman,Sheetal Menon*;4;113
Bhrashtachar;1989;*Action, Crime, Drama*;Ramesh Sippy;*Rekha,Mithun Chakraborty,Anupam Kher*;4.6;119
Bhu Mafia;2018;*Drama*;Sanjay Srivastav;*Ramesh Yadav,Devdutt Budholiya,Mohini Gupta*;;
Bhuchaal;1993;*Action*;Rakesh Kashyap;*Puneet Issar,Bharat Kapoor,Daboo Malik*;;
Bhuddah Hoga Tera Baap;2011;*Action, Comedy, Crime*;Puri Jagannadh;*Amitabh Bachchan,Hema Malini,Sonu Sood*;5.6;"2;782"
Bhuj: The Pride of India;2021;*Action, Drama, History*;Abhishek Dudhaiya;*Sharad Kelkar,Ajay Devgn,Parineeti Chopra*;;
Bhula Na Dena;1981;*Drama, Family*;Harsh Kohli;*Kaajal Kiran,Helen,Sujit Kumar*;;
Bhulaye Na Bane;1985;*Romance*;Virendra Sharma;*Madan Jain,Natasha Sinha,*;;
Bhule Bhatke;1952;*Comedy, Fantasy*;Brij;*Brijmohan,Master Bhagwan,Baburao Pahelwan*;;
Bhumi;2016;*Drama*;Mohd Feroz Qureshi;*Adeeth Bhandarre,Mantosh Kumar,Esha Pathak*;;
Bhumika;1977;*Drama*;Shyam Benegal;*Smita Patil,Anant Nag,Naseeruddin Shah*;7.4;585
Bhunsaara;2010;*Drama, Romance*;;*,,*;;
Bhutio Mahal;1932;**;Jayant Desai;*Keki Adajania,Dinshaw Bilimoria,Dixit*;;
Bhuvan Shome;1969;*Comedy, Drama*;Mrinal Sen;*Utpal Dutt,Suhasini Mulay,Shekhar Chatterjee*;7.5;400
Bichar;1943;*Drama*;Nitin Bose;*Maya Banerjee,Dilip Bose,Leela Desai*;;
Bichchade Balam;1948;**;Manibhai Vyas;*Khurshid Jr.,Anjum,Meena Kumari*;;
Bichhoo;2000;*Action, Crime, Drama*;Guddu Dhanoa;*Bobby Deol,Rani Mukerji,Ashish Vidyarthi*;5;"2;807"
Bidaai;1974;*Drama, Musical, Romance*;L.V. Prasad;*Jeetendra,Leena Chandavarkar,Durga Khote*;6.5;54
Bidi Bakda;2021;*Drama*;Gajendra Ahire;*Seema Biswas,Eshika Dey,Govind Namdeo*;;
Bidrohi;1935;**;Dhirendranath Ganguly;*Ahindra Choudhury,Jyotsna Gupta,Indubala*;;
Bidyapati;1937;*Drama*;Debaki Bose;*Pahadi Sanyal,Durgadas Bannerjee,Chhayadevi*;7;23
Big Brother;2007;*Action, Crime, Drama*;Guddu Dhanoa;*Sunny Deol,Priyanka Chopra Jonas,Vikas Anand*;3.8;781
Bigde Dil;1949;**;A.M. Khan;*Master Bhagwan,,*;;
Bihar Ke Darshaniya Sthan;1955;*Documentary*;Ritwik Ghatak;*,,*;;
Biharflood Madad Ek Sahyog;2017;*Documentary*;Manis Gupta;*Ranjan Mistry,,*;;
Bihari Gunda;1987;*Action*;S.P. Muthuraman;*Raghuvaran,Rajinikanth,Roobini*;5;6
Biharism;2013;*Drama*;;*,,*;;
Bijili Aur Toofan;1988;*Action*;Sadashiv Amrapurkar;*Hemant Birje,Sonika Gill,Satish Kaul*;;
Bijlee;2000;*Action*;Ramesh U. Lakhiani;*Kiran Kumar,Deepak Shirke,Shehzad Khan*;;
Bijlee Aur Badal;1991;*Action*;Rakesh Bedi;*Sunil Dhawan,Goga Kapoor,Shakti Kapoor*;;
Bijli;1939;**;Balwant Bhatt;*Gulab,Pramila,*;;
Bijli;1972;*Drama*;Rajan Haksar;*Dinesh Hingoo,Hiralal,Dheeraj Kumar*;;
Bijli Chamke Jamna Paar;1962;*Action, Drama*;Jaswant Jhaveri;*Dhumal,Paidi Jairaj,Raj Kishore*;;
Bijuka;2012;*Drama*;Ashtar Sayed;*Arti Rautela,Amit Purohit,Janardhan Mishra*;6.4;22
Bikhare Moti;1971;*Action, Drama, Romance*;Tapi Chanakya;*Jeetendra,Babita Kapoor,Sujit Kumar*;3.6;13
Bikhare Moti;1935;**;Kamlabai Gokhale;*,,*;;
Bikhare Moti;1951;**;S.M. Yusuf;*Jayant,Jeevan,Kamini Kaushal*;;
Bikroo Kanpur Gangster;2021;*Crime*;Neeraj Singh;*Shraddha Srivastava,Nimai Bali,Anil Rastogi*;;
Bilal;2008;*Documentary*;Sourav Sarangi;*,,*;7.1;36
Billa;1989;*Action, Comedy, Crime*;Raja;*Jai Ganesh,Goundamani,Jaishankar*;6.6;19
Billa No. 786;2000;*Action*;Imran Khalid;*Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan*;4.4;34
Billa Ranga;1982;*Action, Crime, Family*;K.S.R. Das;*Chiranjeevi,Mohan Babu,Radhika Sarathkumar*;7.5;53
Billa Ranga Baashaa;;*Action, Adventure, Fantasy*;Anup Bhandari;*Sudeep,,*;;
Billi;1938;**;Jayant Desai;*,,*;;
Billi;1949;*Action*;Nari Ghadiali;*Fearless Nadia,John Cawas,Vitha*;;
Billi: The Wild Cat;2006;*Crime*;Tilak;*Mamta Chauhan,Arun Verma,Tina Sequeira*;;
Billoo Baadshah;1989;*Action, Crime, Drama*;Sisir Misra;*Shatrughan Sinha,Anita Raj,Govinda*;4.5;41
Billu;2009;*Comedy, Drama*;Priyadarshan;*Irrfan Khan,Lara Dutta,Om Puri*;6.2;"11;078"
Billu Ustaad;2018;*Drama*;Suvahhdan Angre;*Neel Bakshi,Sneha Arun,Abhishek Bardia*;6.9;26
Bilwamangal;1954;*Drama, Fantasy*;D.N. Madhok;*Ulhas,Suraiya,Asha Mathur*;;
Bilwamangal;1932;**;Patience Cooper;*Mohammad Isaq,Abdul Rehman Kabuli,Jehanara Kajjan*;;
Bin Baap Ka Beta;1979;*Comedy*;Master Bhagwan;*Birbal,Mohan Choti,Dhumal*;;
Bin Badal Barsaat;1963;*Drama, Musical, Mystery*;Jyoti Swaroop;*Asha Parekh,Biswajit Chatterjee,Nishi*;5.7;31
Bin Bulaye Baraati;2011;*Action, Comedy, Crime*;Chandrakant Singh;*Naushaad Abbas,Rati Agnihotri,Shweta Bhardwaj*;3.8;255
Bin Maa Ke Bachche;1980;*Drama*;Satyen Bose;*Bindu,Leela Chitnis,Raju Desai*;6;17
Bin Phere Free Me Tere;2013;*Comedy*;Manoj Sharma;*Ashrita Agarwal,Arsh Deol,Manoj Joshi*;4.5;22
Bin Phere Hum Tere;1979;*Drama, Family*;Rajat Rakshit;*Asha Parekh,Vinod Mehra,Sarika*;6.7;25
Bindhaast;1999;*Adventure, Mystery, Thriller*;Chandrakant Kulkarni;*Gautami Kapoor,Sharvari Jamenis,Reema Lagoo*;7;148
Bindiya;1946;**;Chimanlal Luhar;*Leela Mishra,Ragni,Kamal Zamindar*;;
Bindiya;1955;*Drama, Family*;Shamim Bhagat;*Shekhar,Sulochana Latkar,Kumkum*;;
Bindiya;1978;*Romance*;;*,,*;;
Bindiya Aur Bandook;1972;*Action*;Shibu Mitra;*Kiran Kumar,Asha Sachdev,Laxmi Chhaya*;2.8;10
Bindiya Aur Bandook Part II;2003;*Action*;Joginder Shelly;*Poonam Dasgupta,Dinesh Hingoo,Mohan Joshi*;;
Bindiya Chamkegi;1984;*Comedy, Family*;Tarun Dutt;*Rekha,Vinod Mehra,Johnny Walker*;5.1;18
Bindiya Mange Bandook;2001;*Action*;Sanju K. Gupta;*Joginder Shelly,Pinky Chinoy,Mohan Joshi*;3.9;8
Bindya;1960;*Drama*;R. Krishnan;*S. Panju,Padmini,Balraj Sahni*;5.7;12
Bioscopewala;2017;*Drama*;Deb Medhekar;*Danny Denzongpa,Geetanjali Thapa,Adil Hussain*;7.6;882
Bipasha: The Black Beauty;2006;*Thriller*;Shailendra Singh Rajput;*Needhi Gill,Razak Khan,Veer Lalwani*;;
Biradari;1966;*Drama*;Ram Kamlani;*Shashi Kapoor,Faryal,Pran*;5.9;33
Biraj Bahu;1954;*Drama*;Bimal Roy;*Kamini Kaushal,Abhi Bhattacharya,Shakuntala*;6.2;51
Birbal Ki Beti;1935;**;Nanubhai Vakil;*Zubeida,Hadi,Gulab*;;
Birbal My Brother;1973;*Drama*;Rajat Bapat;*Satish Dubhashi,Lilian,Gulab Mokasi*;;
Bird Idol;2010;*Animation*;Jyotin Goel;*,,*;4.3;7
Birha;2018;*Documentary*;Ekta Mittal;*,,*;;
Birha Ki Raat;1950;*Drama, Romance*;Gajanan Jagirdar;*Dev Anand,Nargis,*;7.1;15
Birhan;1948;**;Cuckoo;*Shanti Modak,Begum Parveen,Pran*;;
Birjoo;1993;*Action*;Qamar Narvi;*Beena Banerjee,Kanchan,Raj Kiran*;;
Birju Maharaj;1972;*Documentary*;Chidananda Das Gupta;*,,*;;
Birju Ustad;1964;*Action*;Ajit;*Chandrashekhar,Vijaya Choudhury,Sheikh Mukhtar*;;
Birsa Munda - The black Iron Man;2004;*History*;Rajesh Mittal;*Biswajit Chatterjee,Ali Khan,Anil Nagrath*;;
Birthday;1965;**;Phani Majumdar;*,,*;;
Bishwa;2020;*Drama*;Anuj Tyagi;*Vinay Pathak,Usha Jadhav,Sharib Hashmi*;;
Bismil Ki Arzoo;1937;**;B.S. Hijle;*Sardar Akhtar,Nurjahan,*;;
Bismillah Ki Barkat;1983;*Drama*;K Sharif;*Tariq,Sona Mastan Mirza,Meena T.*;5.8;5
Bistar;1986;*Drama*;Arun Govil;*Jankidas,Mehmood Jr.,Yunus Parvez*;;
Bistar;2001;*Thriller*;Kishan Shah;*Birbal,Hemant Birje,Poonam Dasgupta*;;
Bisvi Sadi;1945;**;Mohan Dayaram Bhavnani;*Motilal,Nargis,Mazhar Khan*;;
Bitch;2017;*Adventure, Comedy, Drama*;Csaba Bene Perlenberg;*Amanda Ooms,Lars-Erik Berenett,Anders Granstr�m*;5.5;11
Bitiya Sada Suhaghan Rah;2014;*Family*;Kritn Ajitesh;*,,*;;
Bitter Chestnut;2019;*Drama*;Gurvinder Singh;*Bhankheri Devi,Rani Devi,Gopi Katwal*;7.1;27
Bittoo Boss;2012;*Romance*;Supavitra Babul;*Pulkit Samrat,Rajesh Bakshi,Ujjwal Chopra*;4.1;365
Biwi;1950;*Drama, Family*;Kishore Sharma;*Al Nasir,Pran,Mumtaz Shanti*;;
Biwi Anari Saali Khiladi;2002;*Thriller*;Raj Kamal;*Haider Kazmi,Mushtaq Khan,Roshni*;;
Biwi Aur Makan;1966;*Comedy*;Hrishikesh Mukherjee;*Biswajit Chatterjee,Mehmood,Shabnam*;6.9;45
Biwi aur Padosan;2001;*Thriller*;Laxmikant Berde;*Bindu Kamat,Razak Khan,Dharmendra Rana*;;
Biwi Aur Sali;2002;*Thriller*;Bhaskar;*Pratap Chandra,Devan,*;;
Biwi Ho To Aisi;1988;*Comedy, Drama*;J.K. Bihari;*Rekha,Farooq Shaikh,Bindu*;5.8;857
Biwi Jawan Miyan Pareshaan;2000;*Comedy*;Usman Khan;*Tina Ghai,Balli Grover,Raju Srivastava*;;
Biwi Ka Pyar;2001;*Thriller*;Shakeela;*,,*;;
Biwi Ka Yaar;2001;*Thriller*;;*,,*;;
Biwi Ki Saheli;2003;*Thriller*;;*,,*;;
Biwi Kiraya Ki;1975;*Comedy, Drama*;Ajit Kumar;*Sona Mastan Mirza,Indra Kumar,Jagdeep*;;
Biwi Kiraye Ki;2003;*Thriller*;Shakeela;*,,*;;
Biwi No. 1;1999;*Comedy, Drama, Romance*;David Dhawan;*Karisma Kapoor,Salman Khan,Anil Kapoor*;5.7;"5;464"
Biwi No. 2;2000;*Romance*;Satyanarayana;*Nagarjuna Akkineni,Tabu,Heera Rajgopal*;5.7;63
Biwi Tumhari Bachche Hamare;2004;*Thriller*;;*,,*;;
Biwi-O-Biwi;1981;*Comedy, Romance*;Rahul Rawail;*Sanjeev Kumar,Randhir Kapoor,Poonam Dhillon*;7;206
Black;2005;*Drama*;Sanjay Leela Bhansali;*Amitabh Bachchan,Rani Mukerji,Shernaz Patel*;8.2;"33;782"
Black & White;2015;*Drama*;Kkunal Shinde;*Akansha,Samruddhi Menge,Ekta Patil*;;
Black & White;2008;*Crime, Drama, Thriller*;Subhash Ghai;*Anil Kapoor,Anurag Sinha,Shefali Shah*;6.2;570
Black and White;1946;*Action, Comedy*;S.M. Raza;*John Cawas,Baburao Pahelwan,Kumari Kusum*;;
Black and White;2011;*Action*;Rajeev Kanakala;*Jackie Shroff,Sindhu Tolani,*;;
Black Arrow;1965;*Action, Drama*;Hameeda Bano;*Khurshid Bawra,Hercules,Nazir Kashmiri*;;
Black Bud;;*Crime, Drama, Thriller*;Amol Kale;*Asif Basra,Vipin Sharma,Atul Kulkarni*;;
Black Cat;1959;*Action, Thriller, Mystery*;Nisar Ahmad Ansari;*Balraj Sahni,Minoo Mumtaz,Johnny Walker*;6.7;25
Black Cobra;1981;*Action, Adventure, Crime*;K.S.R. Das;*Kavitha,Padma Khanna,Pandharibai*;4.9;26
Black Coffee;2021;*Drama*;Hemant Verma;*Suhasini Mulay,Virendra Saxena,*;;
Black Commando;1994;*Action*;Rajiv Anjal;*Suresh Gopi,Priya Raman,Tej Sapru*;;
Black Currency;;*Action*;Sanjay Sharma;*Nawazuddin Siddiqui,Zeenat Aman,Rajat Kapoor*;;
Black Currency: The Fake Currency Truth Unfolds;;*Drama*;Sanjay Sharma;*Nawazuddin Siddiqui,Zeenat Aman,Vivek Oberoi*;;
Black Friday;2004;*Action, Crime, Drama*;Anurag Kashyap;*Kay Kay Menon,Pawan Malhotra,Aditya Srivastav*;8.5;"19;493"
Black Future;;*Action*;Dhruv;*Satya,Shishir,Dharmendra*;;
Black Home;2015;*Drama, Thriller*;Ashish Deo;*Ashutosh Rana,Chitrashi Rawat,Murli Sharma*;7.4;23
Black Is Beautiful;2016;*Documentary*;Deepak Sharma;*,,*;;
Black Market;1947;*Action, Thriller*;S.H. Tharani;*Dulari,Dilawar,Habib*;;
Black Market;2021;*Action*;Arjun Raaj;*Attin Bhalla,Milind Gunaji,Mohan Joshi*;;
Black Mountain;1971;*Drama, Family, Fantasy*;M.S. Sathyu;*Aleksandr Zguridi,Reshama Pasha,Prince Pradeep*;6.6;24
Black Out;1942;**;Nari Ghadiali;*Benjamin,Shobha,Sardar*;;
Black Poster;2015;*Thriller*;Karann Rajpoot;*Zakir Hussain,Sheetal Kale,Sharon Lamare*;;
Black Prince;1960;*Action*;;*,,*;;
Black Rider;1960;*Action, Drama*;Mehmood Khan;*Kamran,Krishna Kumari,Habib*;;
Black Rose;2021;*Thriller*;Hemant N Mishra;*Samiksha Bhatnagar,Abhilash Narain,Sanjana Shukla*;5;46
Black Rose;2020;*Thriller*;Hemant N Mishra;*Samiksha Bhatnagar,Rahul Chawla,Abhilash Dada*;8.6;38
Black Shadow;1961;*Action*;Madan Mohan Mehra;*Amarnath,Manher Desai,Nishi*;;
Black Tiger;1960;*Action*;Habib;*Azaad Irani,Arvind Kumar,Nadira*;;
Black Yellow;2019;*Comedy, Crime, Drama*;Paresh Patel;*Akshay Bhagat,Paresh Patel,Anagha Priolkar*;;
Blackboard vs Whiteboard;2019;*Action, Family*;Tarun s Bisht;*Dharmendra,Alismita Goswami,Pankaj Jha*;5.4;43
Blackgold;;*Crime*;Riingo Banerjee;*,,*;;
Blackmail;1973;*Drama, Musical, Romance*;Vijay Anand;*Dharmendra,Rakhee Gulzar,Shatrughan Sinha*;6.7;199
Blackmail;2005;*Action, Drama, Thriller*;Anil Devgan;*Ajay Devgn,Sunil Shetty,Priyanka Chopra Jonas*;4.1;618
Blackmail;2018;*Comedy, Thriller*;Abhinay Deo;*Irrfan Khan,Kirti Kulhari,Urmila Matondkar*;7.1;"9;671"
Blackmailer;2009;**;Aviraj;*Rati Agnihotri,Rajesh Khanna,Aushim Khetarpal*;;
Blackmailer;1959;*Thriller*;Sultan;*Amarnath,Habib,Naazi*;;
Blank;2019;*Action, Thriller*;Behzad Khambata;*Sunny Deol,Karan Kapadia,Karanvir Sharma*;6.2;933
Blast Barood;2001;*Action*;Chandramohan;*Tottempudi Gopichand,Sneha,*;;
Blind;;*Crime, Thriller*;Shome Makhija;*Sonam Kapoor,Lucy Aarden,Lillete Dubey*;;
Blind Mind;2020;*Drama*;Vajshi G. Vavnotia;*Vije Bhatia,Niharika Choukesey,Shreyanshi Barot*;;
Blood;2019;*Drama*;Aslam Basha Shaik;*Anwar Basha Siddiqui,Gaddam Sakar,Sushma*;;
Blood Money;2012;*Action, Crime, Drama*;Vishal Mahadkar;*Manish Chaudhary,Kunal Khemu,Amrita Puri*;5;981
Blood Relation;2015;*Drama*;Sanjeev Kumar Rajput;*Sunny Thakur,,*;6.3;6
Blood Sugar;2020;*Thriller*;Desparado;*Ajinkya,Rajeev Bharadwaj,Baby Mahali*;;
Bloody D;;*Horror, Thriller*;Aslam Khan;*Aditya Pancholi,Sanaa,Deep Joshi*;;
Bloody Isshq;2013;*Drama, Romance*;Arup Dutta;*Akash,Shilpa Anand,Karan Veer Mehra*;7.2;35
Bloody Psycho;2017;*Thriller*;Irfan Khan;*Soni Patel,Brijesh Tiwari,*;;
Blue;2009;*Action, Adventure, Mystery*;Anthony D'Souza;*Akshay Kumar,Sanjay Dutt,Lara Dutta*;3.7;"4;674"
Blue Mountains;2017;*Drama, Family, Musical*;Suman Ganguli;*Sapna Awasthi,Nitin Bali,Amit Behl*;5.7;51
Blue Night: The Dangerous Game;2000;*Thriller*;Munir Khan;*Mohan Joshi,Rubina Khan,Kiran Kumar*;;
Blue Oranges;2009;*Mystery*;Rajesh Ganguly;*Rajit Kapoor,Aham Sharma,Pooja Kanwal*;6.5;201
"Blue Skies; Green Waters; Red Earth";2013;*Adventure, Drama, Romance*;Sameer Thahir;*Dulquer Salmaan,Sunny Wayne,Bala Hijam*;7.7;"3;446"
Bluff Master;1963;*Romance*;Manmohan Desai;*Shammi Kapoor,Saira Banu,Niranjan Sharma*;6.5;112
Bluffmaster;2005;*Comedy, Crime, Drama*;Rohan Sippy;*Abhishek Bachchan,Priyanka Chopra Jonas,Riteish Deshmukh*;6.6;"5;950"
Bob Biswas;;*Crime, Drama, Thriller*;Diya Annapurna Ghosh;*Abhishek Bachchan,Chitrangda Singh,Amar Upadhyay*;;
Bobby;1973;*Comedy, Musical, Romance*;Raj Kapoor;*Dimple Kapadia,Rishi Kapoor,Pran*;7.1;"1;776"
Bobby Darogan;2020;*Comedy, Crime, Drama*;Vivek Sharama;*Pratap Kumar,Monika Himachali,Rajveer Singh Dangi*;;
Bobby Jasoos;2014;*Comedy, Drama, Thriller*;Samar Iqbal;*Vidya Balan,Ali Fazal,Mahima A*;5.5;"2;189"
Bobby: Love and Lust;2005;*Romance*;Rakesh Parmaar;*Usha Bachani,Monalisa,Hyder Kazmi*;4.8;37
Body;2021;*Mystery*;Abhijit Mazumdar;*Khushboo Upadhyay,Jatin Negi,Manoj Sharmaa*;;
Bodyguard;2011;*Action, Comedy, Drama*;Siddique;*Salman Khan,Kareena Kapoor,Raj Babbar*;4.7;"23;602"
Bohlol Dana - A Sage of Baghdad;2010;*History*;Abdul Qayyoom Khan;*,,*;8.2;6
Boichek;2017;*Drama, Thriller*;Santosh Sivan;*Chandra Shekhar Dutta,Sugandha Garg,Brijendra Kala*;6.3;24
Bokshi;;*Horror, Fantasy*;Bhargav Saikia;*,,*;;
Bokul;1954;**;Bholanath Mitra;*Uttam Kumar,Manorama,*;;
Bol Bachchan;2012;*Action, Comedy*;Rohit Shetty;*Amitabh Bachchan,Abhishek Bachchan,Ajay Devgn*;5.5;"8;367"
Bol Radha Bol;1992;*Action, Comedy, Crime*;David Dhawan;*Rishi Kapoor,Juhi Chawla,Kader Khan*;6.1;760
Bold;2006;*Crime*;K.C. Bokadia;*Tanvi Verma,Prem Chopra,Shakti Kapoor*;4.7;28
Bold & Beautiful Sherni;2017;*Action*;Dhananjay Galani;*Rajesh Desai,Rahul Dutta,Dhananjay Galani*;;
Bole Chudiyan;2021;*Comedy, Drama, Romance*;Shamas Nawab Siddiqui;*Tamannaah Bhatia,Nawazuddin Siddiqui,Rajpal Yadav*;;
Bole India Jai Bhim;2016;*Biography*;Subodh Nagdeve;*Shyam Bhimsaria,Sameer Deshpande,Jeetendra Doshi*;7.9;20
Bollywood Diaries;2016;*Drama*;K.D. Satyam;*Raima Sen,Salim Diwan,Ashish Vidyarthi*;6;257
Bollywood Villa;2014;*Thriller*;Chandersen Singh;*Arun Bakshi,Piyush Bhalodiya,Deepak Bhatia*;4.8;12
Bollywood Zindabad;2021;*Biography*;Rishab Bhardwaj;*Preeti,,*;;
Bollywood: The Greatest Love Story Ever Told;2011;*Documentary*;Rakeysh Omprakash Mehra;*Jeff Zimbalist,Amitabh Bachchan,Aishwarya Rai Bachchan*;6.1;115
Bolo Hau;2021;*Comedy, Romance*;Tarun Dhanrajgir;*Jahnavi Dhanrajgir,Adnan Sajid Khan,Preeti Nigam*;;
Bolo Raam;2009;*Action, Crime, Drama*;Rakesh Chaturvedi Om;*Rishi Bhutani,Disha Pandey,Padmini Kolhapure*;5.2;85
Bolti Bulbul;1942;**;Dhirubhai Desai;*,,*;;
Bolti Nadi - Into the Sakri River Basin;2020;*Documentary*;Amir Hashmi;*Amir Hashmi,,*;;
Bom;2011;*Documentary, History*;Amlan Datta;*,,*;8.2;70
Bomb Blast;1993;*Action, Thriller*;Deepak Balraj Vij;*Ronit Roy,Aditya Pancholi,Kishori Shahane*;6.4;25
Bombai Ka Babu;1960;*Drama, Musical, Romance*;Raj Khosla;*Dev Anand,Suchitra Sen,Jeevan*;7;154
Bombairiya;2019;*Comedy, Crime, Drama*;Pia Sukanya;*Radhika Apte,Akshay Oberoi,Siddhant Kapoor*;4.5;381
Bombay;1949;**;C.R. Bajaj;*Bhudo Advani,Choudhry,Uday Kumar*;;
Bombay 405 Miles;1980;*Comedy, Action*;Brij;*Zeenat Aman,Vinod Khanna,Shatrughan Sinha*;6.9;83
Bombay Boys;1998;*Comedy, Crime, Drama*;Kaizad Gustad;*Naveen Andrews,Rahul Bose,Alexander Gifford*;6.5;557
Bombay by Nite;1969;*Crime, Drama*;A. Shamsheer;*Sanjeev Kumar,Kumkum,Bela Bose*;;
Bombay Calling;1942;**;Ghulam Rasool;*,,*;;
Bombay Central;1960;*Action*;Krishna Kumari;*Samar Roy,Sumati,Kesari*;;
Bombay Crime;2001;*Action*;Tinnu Anand;*Sulabha Deshpande,Anant Jog,Bharat Kapoor*;;
Bombay Dreams;2002;*Musical*;Steven Pimlott;*Raza Jaffrey,Preeya Kalidas,Ayesha Dharker*;;
Bombay Express;1981;*Action*;Kamal Haasan;*Madhavi,Swapna,*;5.6;5
Bombay Fantasy;1983;*Adventure, Romance*;Pankaj Dheer;*Zalim Khan,Shabana Murti,Vibhushan Singh Paul*;;
Bombay Girl;2021;*Drama*;Ssanjay Tripaathi;*Janhvi Kapoor,,*;;
Bombay Girls;2001;*Drama, Adventure*;Poonam Sinha;*Shakti Kapoor,Bappi Lahiri,Sonia*;;
Bombay Ka Chor;1962;*Crime, Mystery*;S.D. Narang;*Kishore Kumar,Mala Sinha,Amar*;7;16
Bombay Ka Raja;1992;*Action*;Pradeep Khanna;*,,*;;
Bombay Mail 109;1980;*Drama*;T.R. Sundaram;*Aachi Manorama,Suruli Rajan,V.K. Ramasamy*;;
Bombay Police;1992;*Action*;Narayana Rao Uppalapati;*Nagarjuna Akkineni,J.D. Chakravarthi,Prabhu Deva*;5.4;9
Bombay Race Course;1965;*Crime, Drama*;Kedar Kapoor;*Nalini Jaywant,Ajit,Johnny Walker*;;
Bombay Romance;;*Romance*;Jugal Raja;*Shonita Joshi,Jaskaran Singh,*;;
Bombay Rose;2019;*Animation, Drama, Romance*;Gitanjali Rao;*Cyli Khare,Amit Deondi,Gargi Shitole*;6;480
Bombay Summer;2018;*Adventure, Romance*;Ranjeet Kumar;*Sachin Kumar Meena,,*;;
Bombay Talkies;2013;*Drama*;Zoya Akhtar;*Dibakar Banerjee,Karan Johar,Anurag Kashyap*;6.7;"5;124"
Bombay to Bangkok;2008;*Comedy, Crime, Romance*;Nagesh Kukunoor;*Shreyas Talpade,Lena Christensen,Vijay Maurya*;4.6;417
Bombay to Goa;1972;*Action, Adventure, Comedy*;Mehmood;*S. Ramanathan,Mehmood,Aruna Irani*;6.8;"1;106"
Bombay Town;1975;*Action*;Radhakant;*Padma Khanna,Rakesh Pandey,Hemant Raj*;;
Bombay Velvet;2015;*Action, Crime, Drama*;Anurag Kashyap;*Ranbir Kapoor,Anushka Sharma,Karan Johar*;5.6;"5;685"
Bombay War;1990;*Action*;Vinay Apte;*Dnyanadeo Aroskar,Ramesh Bhatkar,Huma Khan*;;
Bombshell;1935;**;Ishwarlal;*Dinkar Rao,Khurshid Begum,Hadi*;;
Bond 303;1985;*Action, Adventure, Crime*;Ravi Tandon;*Jeetendra,Parveen Babi,Tom Alter*;4.9;27
Bond of Love;2001;*Drama, Family*;Suneel Darshan;*Amitabh Bachchan,Rakhee Gulzar,Akshay Kumar*;5.1;"1;584"
Bonny;1993;*Romance*;Anwar Ali;*Binju Ali,Mona Ambegaonkar,Raj Babbar*;;
