name;year;genre;director;cast;rating;votes
2 Piece;2005;*Drama*;Kishan Shah;*Ramesh Goyal,Satnam Kaur,Anil Nagrath*;;
2 States;2014;*Comedy, Drama, Romance*;Abhishek Varman;*Arjun Kapoor,Alia Bhatt,Amrita Singh*;6.9;"24;034"
2;2018;*Action, Sci-Fi*;S. Shankar;*Rajinikanth,Akshay Kumar,Amy Jackson*;6.2;"21;938"
2001: Do Hazaar Ek;1998;*Crime, Mystery, Thriller*;Raj N. Sippy;*Jackie Shroff,Dimple Kapadia,Tabu*;3.5;112
2006 Varanasi: The Untold;2018;*Drama*;Aryeman Ramsay;*Mukul Dev,Rahul Dev,Ravi Kishan*;;
2007 the last encounter;2018;*Drama*;Partha Sarkar;*Bidita Bag,Sameer Dharmadhikari,Jatin Goswami*;;
2016 the End;2017;*Comedy*;Jaideep Chopra;*Divyendu Sharma,Kiku Sharda,Harshad Chopda*;6.1;94
21: Battle of Saragarhi;;*War*;Rajkumar Santoshi;*Randeep Hooda,Vikramjeet Virk,Nitin Chauhan*;;
22 Days;2018;*Thriller*;Shivam Tiwari;*Rahul Dev,Shivam Tiwari,Sophia Singh*;6.1;8
22 June 1897;1979;*Drama, History*;Jayoo Patwardhan;*Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit*;7.7;52
22 Yards;2019;*Sport*;Mitali Ghoshal;*Barun Sobti,Amartya Ray,Rajit Kapoor*;6.1;361
23rd March 1931: Shaheed;2002;*Biography, Drama, History*;Guddu Dhanoa;*Bobby Deol,Sunny Deol,Amrita Singh*;5.1;642
24 Ghante;1998;*Thriller*;Tinnu Anand;*Bharat Kapoor,Goga Kapoor,Amrit Pal*;;
25th July;1951;**;Chitra Mitra;*,,*;7.6;5
26-Jan;1956;**;Ramesh Saigal;*Ajit,,*;6.6;7
26th January;1956;*Drama*;Ramesh Saigal;*Ajit,Nalini Jaywant,Leela Mishra*;;
26th July at Barista;2008;*Drama*;Mohan Sharma;*Ajita,Himani Chawla,Sumeet Chawla*;3.1;32
27 Down;1974;*Drama*;Awtar Krishna Kaul;*Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher*;6.9;194
3 AM: A Paranormal Experience;2014;*Horror, Romance*;Vishal Mahadkar;*Salil Acharya,Kavin Dave,Jason Matthew Ethier*;5;514
3 Bachelors;2012;*Comedy, Romance*;Ajai Sinha;*Sharman Joshi,Negar Khan,Nigaar Khan*;3.3;165
3 Days 4 Nights in Bihar;2020;*Comedy*;Abhishek Dogra;*Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz*;;
3 Deewarein;2003;*Crime, Drama*;Nagesh Kukunoor;*Naseeruddin Shah,Jackie Shroff,Juhi Chawla*;7.8;"2;322"
3 Dev;2019;*Comedy*;Ankush Bhatt;*Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur*;6.9;35
3 Idiots;2009;*Comedy, Drama*;Rajkumar Hirani;*Aamir Khan,Madhavan,Mona Singh*;8.4;"3;57;889"
3 Nights 4 Days;2009;*Drama, Romance*;Devang Dholakia;*Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani*;5.2;23
3 Shyaane;2020;*Comedy*;Anees Barudwale;*Asrani,Rakesh Bedi,Priyanshu Chatterjee*;;
3 Storeys;2018;*Drama*;Arjun Mukerjee;*Aisha Ahmed,Tarun Anand,Richa Chadha*;6.9;358
3.0 Megapixel;2015;*Adventure, Drama*;Divakar Ghodake;*Seema Azmi,Meenal Chirankar,Pooja Kasekar*;4.3;6
30 Days;2004;*Horror*;Ravi Sinha;*Abhay Bhargava,Milind Gunaji,Dinesh Hingoo*;5;14
30 Minutes;2016;*Thriller*;Yesudas;*Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar*;4.8;26
31st October;2015;*Action, Drama, History*;Shivaji Lotan Patil;*Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle*;5.8;238
340;2009;*Thriller*;Suryaprakash Lakkoju;*Ragesh Asthana,Iqbal Azad,Ahsaas Channa*;4.6;9
36 China Town;2006;*Comedy, Mystery, Thriller*;Abbas Alibhai Burmawalla;*Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor*;5.7;"4;373"
36 Chowringhee Lane;1981;*Drama, Romance*;Aparna Sen;*Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy*;7.5;392
36 Ghante;1974;*Action, Crime, Drama*;Raj Tilak;*Raaj Kumar,Mala Sinha,Sunil Dutt*;6.7;128
376 D;2020;*Crime, Thriller*;Gunveen Kaur;*Robin Sikarwar,Vivek Kumar,Deeksha Joshi*;5.7;252
377 AbNormal;2019;*Drama*;Faruk Kabir;*Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub*;5.6;93
3D Saamri;1985;*Horror*;Shyam Ramsay;*Tulsi Ramsay,Rajan Sippy,Arti Gupta*;5.6;80
3G: A Killer Connection;2013;*Horror, Sci-Fi, Thriller*;Sheershak Anand;*Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan*;3.6;"1;128"
3rd EYE;2019;*Horror*;Sanjay Niranjan;*Deepak Bhatia,Mukul Dev,Sakshi Dwivedi*;6.3;6
3rd November;2016;*Horror*;Vasant Narkar;*Minakshi Bhagat,Pragya Chahar,Kabir Khan*;;
4 Sum;;*Crime, Drama, Thriller*;Neeraj Gwal;*Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke*;;
404: Error Not Found;2011;*Drama, Mystery, Thriller*;Prawaal Raman;*Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat*;7.3;"2;548"
417 Miles;2016;*Drama*;Mainak Dhar;*Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob*;4.8;9
42 Kms.;2009;*Drama, Sport*;Nisha Chainani;*Mandira Bedi,Bikram Saluja,Sammir Dattani*;3.9;14
498A-The Wedding Gift;2012;*Drama, Family, Musical*;Suhaib Ilyasi;*Srishti Gautam,Farida Jalal,Supriya Karnik*;7.8;21
4pm on the Court;2011;*Sport*;Shine Krishna;*Ashish Bhatia,Naveen Kaushik,Vinay Sharma*;;
5 Ghantey Mien 5 Crore;2012;*Thriller*;Faisal Saif;*Nassar Abdulla,Shawar Ali,Rashid Khan*;5.7;75
5 Rifles;1974;*Action, Comedy*;I.S. Johar;*Rakesh Khanna,Rajesh Khanna,Ambika Johar*;6.5;36
5 Rifles;2001;*Action*;Hemant Birje;*Anu Kashyap,Raza Murad,Paintal*;;
5 Rupees;2018;**;Piyush Panjuani;*Shabana Azmi,Yohaan Panjuani,*;;
50 Lakh;2007;*Comedy, Thriller*;Chandra Sekhar Yeleti;*Pawan Malhotra,Mohit Chadha,Veerendra Chauhan*;6.5;82
